Imagen,CH17 Control,CH18 ARDSnet,CH19 OLA,CH20 ARDSnet,CH21 Control,CH22 ARDSnet,CH23 OLA,CH24 Control,CH25 OLA,CH26 ARDSnet,CH28 Control,CH30 OLA
CH17-PA-1.tif,94.8369,,,,,,,,,,,
CH17-PA-10.tif,97.073,,,,,,,,,,,
CH17-PA-2.tif,96.6213,,,,,,,,,,,
CH17-PA-3.tif,98.2512,,,,,,,,,,,
CH17-PA-4.tif,97.8862,,,,,,,,,,,
CH17-PA-5.tif,94.888,,,,,,,,,,,
CH17-PA-6.tif,96.3857,,,,,,,,,,,
CH17-PA-7.tif,95.3897,,,,,,,,,,,
CH17-PA-8.tif,94.942,,,,,,,,,,,
CH17-PA-9.tif,94.5194,,,,,,,,,,,
CH17-PM-1.tif,96.2795,,,,,,,,,,,
CH17-PM-10.tif,97.5493,,,,,,,,,,,
CH17-PM-2.tif,97.5166,,,,,,,,,,,
CH17-PM-3.tif,95.3855,,,,,,,,,,,
CH17-PM-4.tif,97.1082,,,,,,,,,,,
CH17-PM-5.tif,95.9703,,,,,,,,,,,
CH17-PM-6.tif,97.5003,,,,,,,,,,,
CH17-PM-7.tif,97.3615,,,,,,,,,,,
CH17-PM-8.tif,96.81,,,,,,,,,,,
CH17-PM-9.tif,97.2433,,,,,,,,,,,
CH17-PP-1.tif,97.4502,,,,,,,,,,,
CH17-PP-10.tif,97.2283,,,,,,,,,,,
CH17-PP-2.tif,96.9478,,,,,,,,,,,
CH17-PP-3.tif,97.2355,,,,,,,,,,,
CH17-PP-4.tif,96.8447,,,,,,,,,,,
CH17-PP-5.tif,97.5477,,,,,,,,,,,
CH17-PP-6.tif,97.8133,,,,,,,,,,,
CH17-PP-7.tif,97.1125,,,,,,,,,,,
CH17-PP-8.tif,98.0435,,,,,,,,,,,
CH17-PP-9.tif,96.7647,,,,,,,,,,,
CH18-PA-1.tif,,92.5732,,,,,,,,,,
CH18-PA-10.tif,,93.7162,,,,,,,,,,
CH18-PA-2.tif,,92.6575,,,,,,,,,,
CH18-PA-3.tif,,94.7117,,,,,,,,,,
CH18-PA-4.tif,,92.1321,,,,,,,,,,
CH18-PA-5.tif,,92.7464,,,,,,,,,,
CH18-PA-6.tif,,93.9471,,,,,,,,,,
CH18-PA-7.tif,,96.4779,,,,,,,,,,
CH18-PA-8.tif,,95.9815,,,,,,,,,,
CH18-PA-9.tif,,91.0045,,,,,,,,,,
CH18-PM-1.tif,,92.7682,,,,,,,,,,
CH18-PM-10.tif,,93.1817,,,,,,,,,,
CH18-PM-2.tif,,95.9195,,,,,,,,,,
CH18-PM-3.tif,,95.8513,,,,,,,,,,
CH18-PM-4.tif,,96.2233,,,,,,,,,,
CH18-PM-5.tif,,95.3677,,,,,,,,,,
CH18-PM-6.tif,,94.7547,,,,,,,,,,
CH18-PM-7.tif,,94.8178,,,,,,,,,,
CH18-PM-8.tif,,94.7622,,,,,,,,,,
CH18-PM-9.tif,,94.2797,,,,,,,,,,
CH18-PP-1.tif,,93.462,,,,,,,,,,
CH18-PP-10.tif,,91.3699,,,,,,,,,,
CH18-PP-2.tif,,94.6607,,,,,,,,,,
CH18-PP-3.tif,,94.8591,,,,,,,,,,
CH18-PP-4.tif,,94.829,,,,,,,,,,
CH18-PP-5.tif,,94.5625,,,,,,,,,,
CH18-PP-6.tif,,96.3054,,,,,,,,,,
CH18-PP-7.tif,,95.9891,,,,,,,,,,
CH18-PP-8.tif,,96.1037,,,,,,,,,,
CH18-PP-9.tif,,94.0332,,,,,,,,,,
CH19-PA-1.tif,,,95.3712,,,,,,,,,
CH19-PA-10.tif,,,96.9777,,,,,,,,,
CH19-PA-2.tif,,,96.7533,,,,,,,,,
CH19-PA-3.tif,,,96.5971,,,,,,,,,
CH19-PA-4.tif,,,95.7595,,,,,,,,,
CH19-PA-5.tif,,,95.2936,,,,,,,,,
CH19-PA-6.tif,,,96.5195,,,,,,,,,
CH19-PA-7.tif,,,96.4545,,,,,,,,,
CH19-PA-8.tif,,,97.2475,,,,,,,,,
CH19-PA-9.tif,,,96.8036,,,,,,,,,
CH19-PM-1.tif,,,95.1653,,,,,,,,,
CH19-PM-10.tif,,,94.0284,,,,,,,,,
CH19-PM-2.tif,,,96.5457,,,,,,,,,
CH19-PM-3.tif,,,96.2394,,,,,,,,,
CH19-PM-4.tif,,,97.3393,,,,,,,,,
CH19-PM-5.tif,,,96.1144,,,,,,,,,
CH19-PM-6.tif,,,98.0111,,,,,,,,,
CH19-PM-7.tif,,,97.0583,,,,,,,,,
CH19-PM-8.tif,,,95.276,,,,,,,,,
CH19-PM-9.tif,,,93.279,,,,,,,,,
CH19-PP-1.tif,,,82.9008,,,,,,,,,
CH19-PP-10.tif,,,92.8865,,,,,,,,,
CH19-PP-2.tif,,,86.7568,,,,,,,,,
CH19-PP-3.tif,,,75.0084,,,,,,,,,
CH19-PP-4.tif,,,90.6374,,,,,,,,,
CH19-PP-5.tif,,,91.6075,,,,,,,,,
CH19-PP-6.tif,,,94.9926,,,,,,,,,
CH19-PP-7.tif,,,95.0266,,,,,,,,,
CH19-PP-8.tif,,,92.7672,,,,,,,,,
CH19-PP-9.tif,,,92.6831,,,,,,,,,
CH20-PA-1.tif,,,,86.682,,,,,,,,
CH20-PA-10.tif,,,,86.366,,,,,,,,
CH20-PA-2.tif,,,,87.1684,,,,,,,,
CH20-PA-3.tif,,,,86.09,,,,,,,,
CH20-PA-4.tif,,,,88.6139,,,,,,,,
CH20-PA-5.tif,,,,90.5161,,,,,,,,
CH20-PA-6.tif,,,,86.6308,,,,,,,,
CH20-PA-7.tif,,,,85.8582,,,,,,,,
CH20-PA-8.tif,,,,87.1979,,,,,,,,
CH20-PA-9.tif,,,,86.6892,,,,,,,,
CH20-PM-1.tif,,,,90.5344,,,,,,,,
CH20-PM-10.tif,,,,83.1545,,,,,,,,
CH20-PM-2.tif,,,,86.6312,,,,,,,,
CH20-PM-3.tif,,,,86.593,,,,,,,,
CH20-PM-4.tif,,,,86.8163,,,,,,,,
CH20-PM-5.tif,,,,86.4558,,,,,,,,
CH20-PM-6.tif,,,,89.2532,,,,,,,,
CH20-PM-7.tif,,,,90.8576,,,,,,,,
CH20-PM-8.tif,,,,83.7248,,,,,,,,
CH20-PM-9.tif,,,,91.7156,,,,,,,,
CH20-PP-1.tif,,,,95.0203,,,,,,,,
CH20-PP-10.tif,,,,91.6937,,,,,,,,
CH20-PP-2.tif,,,,92.9799,,,,,,,,
CH20-PP-3.tif,,,,95.6853,,,,,,,,
CH20-PP-4.tif,,,,91.6325,,,,,,,,
CH20-PP-5.tif,,,,91.2921,,,,,,,,
CH20-PP-6.tif,,,,91.7697,,,,,,,,
CH20-PP-7.tif,,,,90.596,,,,,,,,
CH20-PP-8.tif,,,,93.7115,,,,,,,,
CH20-PP-9.tif,,,,92.6166,,,,,,,,
CH21-PA-1.tif,,,,,90.699,,,,,,,
CH21-PA-10.tif,,,,,90.8156,,,,,,,
CH21-PA-2.tif,,,,,92.5351,,,,,,,
CH21-PA-3.tif,,,,,90.0725,,,,,,,
CH21-PA-4.tif,,,,,92.0581,,,,,,,
CH21-PA-5.tif,,,,,91.4178,,,,,,,
CH21-PA-6.tif,,,,,90.8785,,,,,,,
CH21-PA-7.tif,,,,,93.3726,,,,,,,
CH21-PA-8.tif,,,,,90.5985,,,,,,,
CH21-PA-9.tif,,,,,92.9674,,,,,,,
CH21-PM-1.tif,,,,,92.3934,,,,,,,
CH21-PM-10}.tif,,,,,94.5753,,,,,,,
CH21-PM-2.tif,,,,,92.794,,,,,,,
CH21-PM-3.tif,,,,,88.4584,,,,,,,
CH21-PM-4.tif,,,,,92.5433,,,,,,,
CH21-PM-5.tif,,,,,90.572,,,,,,,
CH21-PM-6.tif,,,,,90.2177,,,,,,,
CH21-PM-7.tif,,,,,90.4415,,,,,,,
CH21-PM-8.tif,,,,,92.4494,,,,,,,
CH21-PM-9.tif,,,,,92.3881,,,,,,,
CH21-PP-1.tif,,,,,90.7619,,,,,,,
CH21-PP-10.tif,,,,,92.446,,,,,,,
CH21-PP-2.tif,,,,,93.7659,,,,,,,
CH21-PP-3.tif,,,,,93.3975,,,,,,,
CH21-PP-4.tif,,,,,91.282,,,,,,,
CH21-PP-5.tif,,,,,93.0344,,,,,,,
CH21-PP-6.tif,,,,,91.5489,,,,,,,
CH21-PP-7.tif,,,,,90.7588,,,,,,,
CH21-PP-8.tif,,,,,90.8151,,,,,,,
CH21-PP-9.tif,,,,,91.5374,,,,,,,
CH22-PA-1.tif,,,,,,92.2196,,,,,,
CH22-PA-10.tif,,,,,,93.4378,,,,,,
CH22-PA-2.tif,,,,,,92.7834,,,,,,
CH22-PA-3.tif,,,,,,93.0368,,,,,,
CH22-PA-4.tif,,,,,,93.542,,,,,,
CH22-PA-5.tif,,,,,,93.8531,,,,,,
CH22-PA-6.tif,,,,,,93.4469,,,,,,
CH22-PA-7.tif,,,,,,92.3317,,,,,,
CH22-PA-8.tif,,,,,,94.3908,,,,,,
CH22-PA-9.tif,,,,,,92.1402,,,,,,
CH22-PM-1.tif,,,,,,90.8391,,,,,,
CH22-PM-10.tif,,,,,,87.3725,,,,,,
CH22-PM-2.tif,,,,,,93.71,,,,,,
CH22-PM-3.tif,,,,,,88.5111,,,,,,
CH22-PM-4.tif,,,,,,91.1301,,,,,,
CH22-PM-5.tif,,,,,,89.1349,,,,,,
CH22-PM-6.tif,,,,,,89.9057,,,,,,
CH22-PM-7.tif,,,,,,88.0438,,,,,,
CH22-PM-8.tif,,,,,,90.8528,,,,,,
CH22-PM-9.tif,,,,,,91.1885,,,,,,
CH22-PP-1.tif,,,,,,83.2747,,,,,,
CH22-PP-10.tif,,,,,,86.3627,,,,,,
CH22-PP-2.tif,,,,,,82.8649,,,,,,
CH22-PP-3.tif,,,,,,78.1718,,,,,,
CH22-PP-4.tif,,,,,,79.6328,,,,,,
CH22-PP-5.tif,,,,,,81.6882,,,,,,
CH22-PP-6.tif,,,,,,81.9637,,,,,,
CH22-PP-7.tif,,,,,,79.6914,,,,,,
CH22-PP-8.tif,,,,,,81.9555,,,,,,
CH22-PP-9.tif,,,,,,83.7202,,,,,,
CH23-PA-1.tif,,,,,,,94.888,,,,,
CH23-PA-10.tif,,,,,,,94.2761,,,,,
CH23-PA-2.tif,,,,,,,96.3479,,,,,
CH23-PA-3.tif,,,,,,,93.5252,,,,,
CH23-PA-4.tif,,,,,,,94.4788,,,,,
CH23-PA-5.tif,,,,,,,94.4669,,,,,
CH23-PA-6.tif,,,,,,,94.0321,,,,,
CH23-PA-7.tif,,,,,,,93.5149,,,,,
CH23-PA-8.tif,,,,,,,94.2334,,,,,
CH23-PA-9.tif,,,,,,,93.6225,,,,,
CH23-PM-1.tif,,,,,,,96.2011,,,,,
CH23-PM-10.tif,,,,,,,96.4818,,,,,
CH23-PM-2.tif,,,,,,,96.0103,,,,,
CH23-PM-3.tif,,,,,,,96.4041,,,,,
CH23-PM-4.tif,,,,,,,96.4632,,,,,
CH23-PM-5.tif,,,,,,,96.8085,,,,,
CH23-PM-6.tif,,,,,,,95.8127,,,,,
CH23-PM-7.tif,,,,,,,96.7189,,,,,
CH23-PM-8.tif,,,,,,,95.2356,,,,,
CH23-PM-9.tif,,,,,,,95.3274,,,,,
CH23-PP-1.tif,,,,,,,94.2957,,,,,
CH23-PP-10.tif,,,,,,,94.2953,,,,,
CH23-PP-2.tif,,,,,,,93.9535,,,,,
CH23-PP-3.tif,,,,,,,93.8474,,,,,
CH23-PP-4.tif,,,,,,,93.47,,,,,
CH23-PP-5.tif,,,,,,,91.9401,,,,,
CH23-PP-6.tif,,,,,,,91.9716,,,,,
CH23-PP-7.tif,,,,,,,92.7376,,,,,
CH23-PP-8.tif,,,,,,,92.4754,,,,,
CH23-PP-9.tif,,,,,,,92.2144,,,,,
CH24-PA-1.tif,,,,,,,,97.2379,,,,
CH24-PA-10.tif,,,,,,,,97.0836,,,,
CH24-PA-2.tif,,,,,,,,97.8512,,,,
CH24-PA-3.tif,,,,,,,,97.923,,,,
CH24-PA-4.tif,,,,,,,,96.7357,,,,
CH24-PA-5.tif,,,,,,,,96.8161,,,,
CH24-PA-6.tif,,,,,,,,95.2628,,,,
CH24-PA-7.tif,,,,,,,,96.3712,,,,
CH24-PA-8.tif,,,,,,,,97.286,,,,
CH24-PA-9.tif,,,,,,,,97.6123,,,,
CH24-PM-1.tif,,,,,,,,97.5695,,,,
CH24-PM-10.tif,,,,,,,,95.5456,,,,
CH24-PM-2.tif,,,,,,,,96.1469,,,,
CH24-PM-3.tif,,,,,,,,95.6594,,,,
CH24-PM-4.tif,,,,,,,,95.806,,,,
CH24-PM-5.tif,,,,,,,,96.3628,,,,
CH24-PM-6.tif,,,,,,,,95.6494,,,,
CH24-PM-7.tif,,,,,,,,94.7767,,,,
CH24-PM-8.tif,,,,,,,,96.0754,,,,
CH24-PM-9.tif,,,,,,,,95.678,,,,
CH24-PP-1.tif,,,,,,,,97.8682,,,,
CH24-PP-10.tif,,,,,,,,96.3796,,,,
CH24-PP-2.tif,,,,,,,,96.8986,,,,
CH24-PP-3.tif,,,,,,,,97.5303,,,,
CH24-PP-4.tif,,,,,,,,97.1523,,,,
CH24-PP-5.tif,,,,,,,,96.5244,,,,
CH24-PP-6.tif,,,,,,,,96.8188,,,,
CH24-PP-7.tif,,,,,,,,96.5041,,,,
CH24-PP-8.tif,,,,,,,,96.6124,,,,
CH24-PP-9.tif,,,,,,,,96.9422,,,,
CH25-PA-1.tif,,,,,,,,,96.6147,,,
CH25-PA-10.tif,,,,,,,,,93.0576,,,
CH25-PA-2.tif,,,,,,,,,94.5975,,,
CH25-PA-3.tif,,,,,,,,,95.7154,,,
CH25-PA-4.tif,,,,,,,,,93.4539,,,
CH25-PA-5.tif,,,,,,,,,91.4296,,,
CH25-PA-6.tif,,,,,,,,,97.6083,,,
CH25-PA-7.tif,,,,,,,,,91.0385,,,
CH25-PA-8.tif,,,,,,,,,90.7154,,,
CH25-PA-9.tif,,,,,,,,,94.0137,,,
CH25-PM-1.tif,,,,,,,,,88.0527,,,
CH25-PM-10.tif,,,,,,,,,89.4215,,,
CH25-PM-2.tif,,,,,,,,,88.822,,,
CH25-PM-3.tif,,,,,,,,,90.4242,,,
CH25-PM-4.tif,,,,,,,,,88.8737,,,
CH25-PM-5.tif,,,,,,,,,89.9473,,,
CH25-PM-6.tif,,,,,,,,,89.4485,,,
CH25-PM-7.tif,,,,,,,,,90.047,,,
CH25-PM-8.tif,,,,,,,,,91.4164,,,
CH25-PM-9.tif,,,,,,,,,89.6767,,,
CH25-PP-1.tif,,,,,,,,,86.4307,,,
CH25-PP-10.tif,,,,,,,,,93.178,,,
CH25-PP-2.tif,,,,,,,,,85.9153,,,
CH25-PP-3.tif,,,,,,,,,91.4709,,,
CH25-PP-4.tif,,,,,,,,,90.3164,,,
CH25-PP-5.tif,,,,,,,,,86.8186,,,
CH25-PP-6.tif,,,,,,,,,86.4543,,,
CH25-PP-7.tif,,,,,,,,,85.1491,,,
CH25-PP-8.tif,,,,,,,,,87.8312,,,
CH25-PP-9.tif,,,,,,,,,93.789,,,
CH26-PA-1.tif,,,,,,,,,,95.7583,,
CH26-PA-10.tif,,,,,,,,,,96.3606,,
CH26-PA-2.tif,,,,,,,,,,95.435,,
CH26-PA-3.tif,,,,,,,,,,96.2416,,
CH26-PA-4.tif,,,,,,,,,,96.8919,,
CH26-PA-5.tif,,,,,,,,,,94.4126,,
CH26-PA-6.tif,,,,,,,,,,97.2044,,
CH26-PA-7.tif,,,,,,,,,,96.6415,,
CH26-PA-8.tif,,,,,,,,,,94.8062,,
CH26-PA-9.tif,,,,,,,,,,94.9985,,
CH26-PM-1.tif,,,,,,,,,,89.8894,,
CH26-PM-10.tif,,,,,,,,,,90.675,,
CH26-PM-2.tif,,,,,,,,,,88.0374,,
CH26-PM-3.tif,,,,,,,,,,87.8609,,
CH26-PM-4.tif,,,,,,,,,,87.7759,,
CH26-PM-5.tif,,,,,,,,,,86.4868,,
CH26-PM-6.tif,,,,,,,,,,87.4293,,
CH26-PM-7.tif,,,,,,,,,,87.3586,,
CH26-PM-8.tif,,,,,,,,,,86.3311,,
CH26-PM-9.tif,,,,,,,,,,88.5515,,
CH26-PP-1.tif,,,,,,,,,,89.1614,,
CH26-PP-10.tif,,,,,,,,,,88.7202,,
CH26-PP-2.tif,,,,,,,,,,86.7618,,
CH26-PP-3.tif,,,,,,,,,,88.7451,,
CH26-PP-4.tif,,,,,,,,,,88.2082,,
CH26-PP-5.tif,,,,,,,,,,88.6445,,
CH26-PP-6.tif,,,,,,,,,,89.8742,,
CH26-PP-7.tif,,,,,,,,,,87.6138,,
CH26-PP-8.tif,,,,,,,,,,87.7792,,
CH26-PP-9.tif,,,,,,,,,,87.5987,,
CH28-PA-1.tif,,,,,,,,,,,96.8625,
CH28-PA-10.tif,,,,,,,,,,,94.9605,
CH28-PA-2.tif,,,,,,,,,,,97.2494,
CH28-PA-3.tif,,,,,,,,,,,95.9438,
CH28-PA-4.tif,,,,,,,,,,,95.7368,
CH28-PA-5.tif,,,,,,,,,,,95.1312,
CH28-PA-6.tif,,,,,,,,,,,95.1414,
CH28-PA-7.tif,,,,,,,,,,,96.2981,
CH28-PA-8.tif,,,,,,,,,,,94.5497,
CH28-PA-9.tif,,,,,,,,,,,95.0395,
CH28-PM-1.tif,,,,,,,,,,,96.9146,
CH28-PM-10.tif,,,,,,,,,,,94.0231,
CH28-PM-2.tif,,,,,,,,,,,93.6879,
CH28-PM-3.tif,,,,,,,,,,,96.6814,
CH28-PM-4.tif,,,,,,,,,,,96.8023,
CH28-PM-5.tif,,,,,,,,,,,96.2127,
CH28-PM-6.tif,,,,,,,,,,,95.4044,
CH28-PM-7.tif,,,,,,,,,,,95.8957,
CH28-PM-8.tif,,,,,,,,,,,95.0021,
CH28-PM-9.tif,,,,,,,,,,,95.4866,
CH28-PP-1.tif,,,,,,,,,,,94.3227,
CH28-PP-10.tif,,,,,,,,,,,93.2858,
CH28-PP-2.tif,,,,,,,,,,,94.8375,
CH28-PP-3.tif,,,,,,,,,,,93.0926,
CH28-PP-4.tif,,,,,,,,,,,93.8252,
CH28-PP-5.tif,,,,,,,,,,,92.2774,
CH28-PP-6.tif,,,,,,,,,,,95.5124,
CH28-PP-7.tif,,,,,,,,,,,96.239,
CH28-PP-8.tif,,,,,,,,,,,95.7308,
CH28-PP-9.tif,,,,,,,,,,,95.6017,
CH30-PA-1.tif,,,,,,,,,,,,96.8341
CH30-PA-10.tif,,,,,,,,,,,,95.3285
CH30-PA-2.tif,,,,,,,,,,,,95.9959
CH30-PA-3.tif,,,,,,,,,,,,95.8026
CH30-PA-4.tif,,,,,,,,,,,,13.3908
CH30-PA-5.tif,,,,,,,,,,,,96.5036
CH30-PA-6.tif,,,,,,,,,,,,97.7123
CH30-PA-7.tif,,,,,,,,,,,,15.2605
CH30-PA-8.tif,,,,,,,,,,,,95.6795
CH30-PA-9.tif,,,,,,,,,,,,95.2228
